编号,SMILES,IUPAC名称,USP7Ub-RhopreInc(IC50)µmol,USP7Ub-Rho110Fluor(IC50)µmol,,,,
38,CCc1c(-c2ccncc2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(4-吡啶基)-3-吡啶基]苯酚,52.4,,,,,
39,CCc1c(-c2cccnc2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(3-吡啶基)-3-吡啶基]苯酚,41,,,,,
40,CCc1c(-c2ccc(O)cc2)cnc(NCC2CC2)c1-c1ccc(O)cc1,4-[6-(环丙基甲基氨基)-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯酚,19.9,,,,,
41,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cccc(NS(C)(=O)=O)c1,N-[3-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]甲磺酰胺,118,,,,,
42,CCc1c(-c2cccc(N3CCNCC3)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(3-哌嗪-1-基苯基)-3-吡啶基]苯酚,165,,,,,
43,CCc1c(-c2ccc(O)cc2)cnc(NC)c1-c1ccc(O)cc1,4-[4-乙基-5-(4-羟基苯基)-6-(甲基氨基)-3-吡啶基]苯酚,6.8,,,,,
44,CCc1c(-c2ccc(Cl)c(C)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-5-(4-氯-3-甲基-苯基)-4-乙基-3-吡啶基]苯酚,>20,,,,,
45,CCc1c(-c2ccc(C(N)=O)cc2)cnc(N)c1-c1ccc(O)cc1,4-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯甲酰胺,2.6,,,,,
46,CCc1c(-c2cccc(C(N)=O)c2)cnc(N)c1-c1ccc(O)cc1,3-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯甲酰胺,114,,,,,
47,CCc1c(-c2cccc(C(C)C)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(3-异丙基苯基)-3-吡啶基]苯酚,>20,,,,,
48,CCc1c(-c2ccc(F)c(F)c2)cnc(N)c1-c1ccc(O)cc1,"4-[2-氨基-5-(3,4二氟苯基)-4-乙基-3-吡啶基]苯酚",11.6,,,,,
49,CCc1c(-c2cccc(C#N)c2)cnc(N)c1-c1ccc(O)cc1,3-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯甲腈,5.4,,,,,
50,CCc1c(-c2ccccc2F)cnc(N)c1-c1ccc(O)cc1,,14.2,,,,,
51,CCc1c(-c2ccc(C#N)cc2)cnc(N)c1-c1ccc(O)cc1,,44.2,,,,,
52,CCc1c(-c2cccc(OC)c2)cnc(N)c1-c1ccc(O)cc1,,50.1,,,,,
53,CCc1c(-c2ccc(OC)cc2)cnc(N)c1-c1ccc(O)cc1,,>20,,,,,
54,CCc1c(-c2cccc(C(=O)N(C)C)c2)cnc(N)c1-c1ccc(O)cc1,,161,,,,,
55,CCc1c(-c2ccc(CO)cc2)cnc(N)c1-c1ccc(O)cc1,,>20,,,,,
56,CCc1c(-c2ccc(C(=O)N(C)C)cc2)cnc(N)c1-c1ccc(O)cc1,,75.6+,,,,,
57,CCc1c(-c2cccc(C)c2)cnc(N)c1-c1ccc(O)cc1,,>20,,,,,
58,CCc1c(-c2ccc(=O)[nH]c2)cnc(N)c1-c1ccc(O)cc1,,93.3,,,,,
59,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc2[nH]nc(C)c2c1,,19.3,,,,,
60,CCc1c(-c2ccc(C(=O)N3CCOCC3)cc2)cnc(N)c1-c1ccc(O)cc1,,167,,,,,
61,CCc1c(-c2cccc(OCc3ccccc3)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-5-(3-苄基氧基苯基)-4-乙基-3-吡啶基]苯酚,63.3++,,,,,
62,CCc1c(-c2ccc(C#N)nc2)cnc(N)c1-c1ccc(O)cc1,5-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]吡啶-2-甲腈,39.2,,,,,
63,CCc1c(-c2cncc(C#N)c2)cnc(N)c1-c1ccc(O)cc1,5-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]吡啶-3-甲腈,11.7,,,,,
64,CCc1c(-c2cccc(C(=O)N3CCCC3)c2)cnc(N)c1-c1ccc(O)cc1,[3-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]-吡咯烷-1-基-甲酮,>63.3,,,,,
65,CCc1c(-c2ccc(C(=O)NC3CC3)cc2)cnc(N)c1-c1ccc(O)cc1,4-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]-N-环丙基-苯甲酰胺,7.7,,,,,
66,CCc1c(-c2cccc(CC#N)c2)cnc(N)c1-c1ccc(O)cc1,2-[3-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]乙腈,18.3,,,,,
67,CCc1c(-c2ccc(C#N)c(F)c2)cnc(N)c1-c1ccc(O)cc1,4-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]-2-氟-苯甲腈,45,,,,,
68,CCc1c(-c2ccc(OC)nc2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(6-甲氧基-3-吡啶基)-3-吡啶基]苯酚,>63.3,,,,,
69,CCc1c(-c2cccc(C(=O)NC(C)C)c2)cnc(N)c1-c1ccc(O)cc1,3-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]-N-异丙基-苯甲酰胺,>63.3,,,,,
70,CCc1c(-c2ccc(CNS(C)(=O)=O)cc2)cnc(N)c1-c1ccc(O)cc1,N-[[4-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]甲基]甲磺酰胺,34.4,,,,,
71,CCc1c(-c2cnn(CC(C)C)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(1-异丁基吡唑-4-基)-3-吡啶基]苯酚,70.6,,,,,
72,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(O)c(C#N)c1,5-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]-2-羟基-苯甲腈,12.5,,,,,
73,CCc1c(-c2ccnc(C)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(2-甲基-4-吡啶基)-3-吡啶基]苯酚,47.3,,,,,
74,CCc1c(-c2cccc(C(F)F)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-5-[3-(二氟甲基)苯基]-4-乙基-3-吡啶基]苯酚,7.8,,,,,
75,CCc1c(-c2ccc(NC(C)=O)nc2)cnc(N)c1-c1ccc(O)cc1,N-[5-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]-2-吡啶基]乙酰胺,3.6,,,,,
76,CCc1c(-c2cc(F)cc(F)c2)cnc(N)c1-c1ccc(O)cc1,"4-[2-氨基-5-(3,5二氟苯基)-4-乙基-3-吡啶基]苯酚",>20,,,,,
77,CCc1c(-c2cccc(Cl)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-5-(3-氯苯基)-4-乙基-3-吡啶基]苯酚,11,,,,,
78,CCc1c(-c2ccccc2Cl)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-5-(2-氯苯基)-4-乙基-3-吡啶基]苯酚,15.7,,,,,
79,CCc1c(-c2ccc(F)c(C)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(4-氟-3-甲基-苯基)-3-吡啶基]苯酚,>20,,,,,
80,CCc1c(-c2ccc(Cl)cc2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-5-(4-氯苯基)-4-乙基-3-吡啶基]苯酚,17.6,,,,,
81,CCc1c(-c2ccc(C(=O)NC)cc2)cnc(N)c1-c1ccc(O)cc1,4-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]-N-甲基-苯甲酰胺,3.3,,,,,
82,CCc1c(-c2cccc(CN3CCOCC3)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(3-(吗啉代甲基)苯基)-3-吡啶基]苯酚,18.2,,,,,
83,CCc1c(-c2cnc(OC)nc2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(2-甲氧基嘧啶-5-基)-3-吡啶基]苯酚,136,,,,,
84,CCc1c(-c2ccc3cn[nH]c3c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(1H-吲[唑-6-基)-3-吡啶基]苯酚,7.2,,,,,
85,CCc1c(-c2cccc3nn(C)cc23)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(2-甲基吲[唑-4-基)-3-吡啶基]苯酚,14.6,,,,,
86,CCc1c(-c2ccc3[nH]c(C)nc3c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(2-甲基-1H-苯并咪唑-5-基)-3-吡啶基]苯酚,13.5,,,,,
87,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc2[nH]ncc2c1,4-[6-氨基-4-乙基-5-(1H-吲[唑-5-基)-3-吡啶基]苯酚,2.1,,,,,
88,CCc1c(-c2ccc3[nH]ncc3c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(1H-吲[唑-5-基)-3-吡啶基]苯酚,2.1,,,,,
89,CCc1c(-c2ccc3cn(C)nc3c2)cnc(N)c1-c1ccc(O)cc1,,63.3++,,,,,
90,CCc1c(-c2cccc(N)c2)cnc(N)c1-c1ccc(O)cc1,,19.2,,,,,
91,CCc1c(-c2ccc(N)cc2)cnc(N)c1-c1ccc(O)cc1,,47,,,,,
92,CCc1c(-c2ccc(C(=O)NC)nc2)cnc(N)c1-c1ccc(O)cc1,,1.5,,,,,
93,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc2cn[nH]c2c1,,13.8,,,,,
94,CCc1c(-c2ccc(O)c(C#N)c2)cnc(N)c1-c1ccc(O)cc1,,9.6,,,,,
95,CCc1c(-c2ccc(O)c(C(N)=O)c2)cnc(N)c1-c1ccc(O)cc1,,106,,,,,
