实施例编号,SMILES,结合IC50DDR1[nM]
79,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(c1ccccc1)CN2c1ccccc1,4790.8
80,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(c1cc(C(F)(F)F)ccc1F)CN2c1ccccc1,1170.4
81,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(c1cc(C(F)(F)F)ccc1Cl)CN2c1ccccc1,1847.5
82,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(c1ccccc1F)CN2c1ccccc1,5019.3
83,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(c1cccc(C(F)(F)F)c1)CN2c1ccccc1,2656.1
84,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(c1ccc(C(F)(F)F)cc1F)CN2c1ccccc1,2351.9
85,Cc1ccc(N2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)c(F)c1,1736.2
86,N#Cc1ccc(N2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)cc1,8209.5
87,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(c1cccc(Cl)c1)CN2c1ccccc1,7076.4
88,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(c1ccc(Cl)cc1F)CN2c1ccccc1,5851.5
89,Cc1cc(F)c(N2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)cc1Cl,2288.7
90,CNC(=O)Cc1cccc(CNC(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)c1,43.1
91,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4n3)CC2)C1=O)NCC(F)(F)F,19.4
92,Nc1ncc(C(=O)N2CCC3(CC2)C(=O)N(CC(=O)NCC(F)(F)F)CN3c2ccccc2)cn1,4914.4
93,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCCF,322.3
94,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)F,65.4
95,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCCC1,183.7
96,CN(C)[C@@H]1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,530.2
97,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCOCC1,265.3
98,O=C(CN1CN(c2cccnc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,1763.8
99,CC(C)(C)OC(=O)N1CC[C@H](NC(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,1433.6
100,CC(C)(C)OC(=O)N1CC[C@@H](NC(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,922.4
101,CN(CC(F)(F)F)C(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,18.7
102,CN(CC(F)(F)F)C(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3cc4cn[nH]c4cn3)CC2)C1=O,110.6
103,Cc1n[nH]c2ccc(C(=O)N3CCC4(CC3)C(=O)N(CC(=O)NCC(F)(F)F)CN4c3ccccc3)cc12,25
104,Nc1n[nH]c2ccc(C(=O)N3CCC4(CC3)C(=O)N(CC(=O)NCC(F)(F)F)CN4c3ccccc3)cc12,21
105,CC(C(=O)NCC(F)(F)F)N1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,34.9
106,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N([C@@H]1CCN(CC(F)(F)F)C1=O)CN2c1ccccc1,80.7
107,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N([C@H]1CCN(CC(F)(F)F)C1=O)CN2c1ccccc1,2724.1
108,N#Cc1cccc(NC(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)n1,33.3
109,Cc1cccc(CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)n1,445.8
110,N#Cc1cccc(CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)n1,1095.3
111,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N(CC(F)(F)F)C1CC1)CN2c1ccccc1,12.4
112,N#CC1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,219.1
113,C[C@H](C(=O)NCC(F)(F)F)N1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,22
114,C[C@@H](C(=O)NCC(F)(F)F)N1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,669.7
115,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N1CCC[C@H]1C(F)(F)F)CN2c1ccccc1,17.7
116,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N1CCC[C@@H]1C(F)(F)F)CN2c1ccccc1,238.9
117,CC(C)(C)OC(=O)N1CC2(CCN2C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,6850.7
118,CN1CCN(Cc2cccc([C@H]3C[C@@H]3NC(=O)CN3CN(c4ccccc4)C4(CCN(C(=O)c5cnc6[nH]ncc6c5)CC4)C3=O)c2)CC1,260
119,CC1(C)N(CC(=O)NCC(F)(F)F)C(=O)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)N1c1ccccc1,2133.8
120,N#Cc1cnc(NC(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)s1,80
