Ex,SMILES,Structure,Name,IC50XIAP BIR2,IC50XIAP BIR3,IC50cIAP BIR2,IC50cIAP BIR3
11,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2cc(NC(=O)CNC(=O)[C@]3(C)CN(C(=O)CN4C[C@@H](C)NC[C@@H]4CN4CCOC[C@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)ccc2C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C,[mol],"(3S)-2-[(2S)-3,3-dimethyl-2-[(2S)-2-(methylamino)propanoyl]amino]butanoyl]-7-[[2-[(3R)-6-[(4-fluorophenyl)methyl]-3-methyl-1-2-[(2R,5R)-5-methyl-2-[(3R)-3-methylmorpholin-4-yl]methyl]piperazin-1-yl]acetyl]-2H-indole-3-carbonyl]amino]acetyl]amino]-N-[(1R)-1,2,3,4-tetrahydronaphthalen-1-yl]-3,4-dihydro-1H-isoquinoline-3-carboxamide; trihydrochloride",1.38,0.018,6.99,0.007
12,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)[C@]3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2[C@H]1C(=O)Nc1c(I)cccc1I)C1CCOCC1,[mol],"(R)-N-((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isindolin-5-yl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.003,0.017,0.105,0.16
13,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)CNC(=O)C3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2C[C@H]1C(=O)Nc1c(C)cccc1F)C1CCOCC1,[mol],"(3S)-N-(2,6-difluorophenyl)-7-(2-(6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamido)acetamido)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)-1,2,3,4-tetrahydroisoquinoline-3-carboxamide trihydrochloride",0.048,0.029,0.97,0.01
14,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccccc2[C@H]1C(=O)Nc1cc(C(=O)NCCNC(=O)C2(C)CN(C(=O)CN3C[C@@H](C)NC[C@@H]3CN3CCOC[C@H]3C)c3cc(Cc4ccc(F)cc4)ccc32)ccc1C)C1CCOCC1,[mol],"N-(2-(4-fluoro-3-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isoindoline-1-carboxamido)benzamido)ethyl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide dihydrochloride",0.036,0.024,1.71,0.007
15,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)[C@]3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2[C@H]1C(=O)Nc1c(F)cccc1F)C1CCOCC1,[mol],"(S)-N-((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isoindolin-5-yl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide",0.0038,0.009,0.177,0.002
16,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccccc2[C@H]1C(=O)Nc1cc(C(=O)Nc2ccc(NC(=O)C3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(C)cc5)ccc43)cc2)ccc1C)C1CCOCC1,[mol],"N-(4-(4-fluoro-3-((S)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isoindoline-1-carboxamido)benzamido)phenyl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.034,0.036,0.327,0.01
17,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)CCNC(=O)[C@]3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2C1C(=O)Nc1c(F)cccc1F)C1CCOCC1,[mol],"(S)-N-(3-((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isoindolin-5-yl)amino)-3-oxopropyl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.006,0.007,0.203,0.002
18,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)CCCNC(=S)[C@@]3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2[C@@H]1C(=O)Nc1c(F)cccc1F)C1CCOCC1,[mol],"(S)-N-(4-(((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isoindolin-5-yl)amino)-4-oxobutyl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.006,0.011,0.116,0.003
19,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2cc(NC(=O)CNC(=O)[C@]3(F)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)ccc2[C@H]1C(=O)Nc1c(F)cccc1F)C1CCOCC1,[mol],"(S)-N-(2-(((S)-1-((2,6-difluorophenyl)carbamoyl)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isoindolin-5-yl)amino)-2-oxoethyl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.011,0.008,0.429,0.003
20,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)CNC(=O)[C@]3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2[C@@H]1C(=O)Nc1c(F)cccc1F)[C@@H](C)OC,[mol],"(S)-N-(2-(((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((2S,3R)-3-methoxy-2-((S)-2-(methylamino)propanamido)butanoyl)isoindolin-5-yl)amino)-2-oxoethyl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.004,0.005,0.11,0.002
21,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC)C(=O)N1Cc2ccc(NC(=O)CNC(=O)[C@]3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(I)cc5)ccc43)cc2[C@@H]1C(=O)Nc1c(F)cccc1I,[mol],"(S)-N-(2-(((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((2S,3S)-3-methyl-2-((S)-2-(methylamino)propanamido)pentanoyl)isoindolin-5-yl)amino)-2-oxoethyl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.004,0.006,0.06,0.003
22,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)CNC(=O)[C@]3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2[C@H]1C(=O)Nc1c(F)cccc1F)C(C)(C)C,[mol],"(S)-N-(2-(((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((S)-3,3-dimethyl-2-((S)-2-(methylamino)propanamido)butanoyl)isoindolin-5-yl)amino)-2-oxoethyl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.003,0.009,0.035,0.003
