compound_id,SMILES,pIC50
39,CCC1(CC)CN(C(=O)c2ccc(Nc3ncc(Cl)c(NC)n3)c(OC)c2)CCO1,
40,CNc1nc(Nc2ccc(C(=O)N3CCOCC3CO)cc2OC)ncc1Cl,
41,CNc1nc(Nc2ccc(C(=O)N3CCOC(CC(C)C)C3)cc2OC)ncc1Cl,
42,CNc1nc(Nc2ccc(C(=O)N3CCOC(CO)C3)cc2OC)ncc1Cl,
43,CNc1nc(Nc2ccc(C(=O)N3CCOCC3(C)C)cc2OC)ncc1Cl,
45,CNc1nc(Nc2ccc(C(=O)N3CCN(C(C)C)CC3)cc2OC)ncc1Cl,
47,CNc1nc(Nc2ccc(C(=O)N3CCNCC3)cc2OC)ncc1Cl,
48,CNc1nc(Nc2ccc(C(=O)N3CCC(O)CC3)cc2OC(F)F)ncc1Cl,
49,CCOc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NC)n1,
51,CNc1nc(Nc2ccc(C(N)=O)cc2OC)ncc1Cl,
52,CCNC(=O)c1ccc(Nc2ncc(Cl)c(NC)n2)c(OC)c1,
53,CNc1nc(Nc2ccc(C(=O)NC(C)C)cc2OC)ncc1Cl,
54,CNC(=O)c1ccc(Nc2ncc(Cl)c(NC)n2)c(OC)c1,
56,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Cl,
57,CNc1nc(Nc2ccc(C(=O)N3C4CCC3COC4)cc2OC)ncc1Cl,
60,CNc1nc(Nc2ccc(C(=O)N3CCOC[C@@H]3C)cc2OC)ncc1Cl,
62,CNc1nc(Nc2ccc(C(=O)N3CC4CC3CO4)cc2OC)ncc1OC,
63,CNc1nc(Nc2ccc(C(=O)N3CC4CCC(C3)O4)cc2OC)ncc1Cl,
64,CNc1nc(Nc2ccc(C(=O)N3CCOC[C@H]3C)cc2OC)ncc1Cl,
65,CNc1nc(Nc2ccc(C(=O)NCCCN)cc2OC)ncc1Cl,
66,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1C1CC1,
67,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCC(C)C)n1,
68,CCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Cl,
69,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NC(C)C)n1,
70,CNc1nc(Nc2ccc(C(=O)N3CCN(C(=O)C4CC4)CC3)cc2OC)ncc1Cl,
71,CNc1nc(Nc2ccc(C(=O)N3CCC(C(C)(C)O)CC3)cc2OC)ncc1Br,
72,CNc1nc(Nc2ccc(C(=O)N3CCC(C(F)(F)F)C3)cc2OC)ncc1Br,
73,CNc1nc(Nc2ccc(C(=O)N3CCC(C#N)CC3)cc2OC)ncc1Br,
74,CNc1nc(Nc2ccc(C(=O)N3CCN(C4CCC4)CC3)cc2OC)ncc1Br,
75,CNc1nc(Nc2ccc(C(=O)N3CCN(CC(F)(F)F)CC3)cc2OC)ncc1Br,
76,CNc1nc(Nc2ccc(C(=O)N3CCC(OC)CC3)cc2OC)ncc1Br,
77,CNc1nc(Nc2ccc(C(=O)N3CC[C@@H](O)C3)cc2OC)ncc1Br,
78,CNc1nc(Nc2ccc(C(=O)N3CCN(C4COC4)CC3)cc2OC)ncc1Br,
79,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(C)C)ncc1Cl,
80,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCC2CC2)n1,
81,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NC2CCC2)n1,
82,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2O)ncc1Cl,
84,CNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1Cl,
86,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2CCC2)ncc1Cl,
87,CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1Cl,
89,CNc1nc(Nc2ccc(C(=O)N3CC(N4CCOCC4)C3)cc2OC)ncc1Cl,
90,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NC2CCCC2)n1,
91,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NC2(C)CCC2)n1,
92,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NC2CCCCC2)n1,
93,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCC2CCOC2)n1,
94,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1I,
99,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCC2CCCO2)n1,
100,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCC2CCC2)n1,
102,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1C1CCC1,
103,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1C1CC1,
104,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCCC2CC2)n1,
105,COCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Cl,
106,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCC2CCCC2)n1,
108,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OCC(F)(F)F)ncc1Cl,
109,COCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OCC(F)(F)F)ncc1Cl,
111,CNc1nc(Nc2ccc(C(=O)N3CCOC([2H])([2H])[C@@H]3C)cc2OC)ncc1Cl,
112,CNc1nc(Nc2ccc(C(=O)N3CCN(C4CCN(C)CC4)CC3)cc2OC)ncc1Cl,
113,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(F)(F)F)ncc1Cl,
115,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2Cl)ncc1Cl,
117,CNc1nc(Nc2ccc(C(=O)N3CC(F)(F)C3)cc2OC)ncc1Cl,
118,CCOc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Br)c(NCCOC)n1,
119,CNc1nc(Nc2ccc(C(=O)N3CCC(N(C)C)CC3)cc2OC)ncc1Cl,
120,CNc1nc(Nc2ccc(C(=O)NC3COC3)cc2OC)ncc1Cl,
121,CNc1nc(Nc2ccc(C(=O)NC3CCCOC3)cc2OC)ncc1Cl,
122,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NC2CCCOC2)n1,
123,COCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2CCC2)ncc1Cl,
124,COCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2CCC2)ncc1Br,
125,CNc1nc(Nc2ccc(C(=O)N3CCN(C4CCNCC4)CC3)cc2OC)ncc1Cl,
126,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCC(F)(F)F)n1,
127,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCC(F)F)n1,
129,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2Br)ncc1Cl,
133,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1OC,
134,CNc1nc(Nc2ccc(C(=O)NCCCN)cc2OC)ncc1Cl,
135,CC#Cc1cnc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc1NC,
137,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1OC,
140,CNc1nc(Nc2cc(OC)c(C(=O)N(C)C)cc2Cl)ncc1Cl,
141,CNc1nc(Nc2cc(OC)c(C(N)=O)cc2Cl)ncc1Cl,
142,CNc1nc(Nc2cc(OC)c(C(=O)NCCO)cc2Cl)ncc1Cl,
143,CNc1nc(Nc2cc(OC)c(C(=O)NCCOC)cc2Cl)ncc1Cl,
144,CNC(=O)c1cc(Cl)c(Nc2ncc(Cl)c(NC)n2)cc1OC,
145,CNc1nc(Nc2cc(OC)c(C(=O)NC3CC3)cc2Cl)ncc1Cl,
146,CNc1nc(Nc2cc(OC)c(C(=O)N3CCC(F)(F)CC3)cc2Cl)ncc1Cl,
147,CCNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,
148,CCNc1nc(Nc2cc(OC)c(C(=O)NC3CC3)cc2Cl)ncc1C(F)(F)F,
149,CCNc1nc(Nc2cc(OC)c(C(=O)NCCOC)cc2Cl)ncc1C(F)(F)F,
150,CNc1nc(Nc2cc(OC)c(C(=O)N3CCNCC3)cc2Cl)ncc1Cl,
151,CNc1nc(Nc2cc(Cl)c(C(=O)N3CCC(N(C)C)CC3)cc2OC)ncc1Cl,
152,CNc1nc(Nc2cc(OC)c(C(=O)N3CCC(O)C3)cc2Cl)ncc1Cl,
153,CNc1nc(Nc2cc(OC)c(C(=O)NC3COC3)cc2Cl)ncc1Cl,
154,CNc1nc(Nc2cc(OC)c(C(=O)NC3CC3)cc2Cl)ncc1C(F)(F)F,
155,CNc1nc(Nc2cc(Cl)c(C(=O)NC3CCN(C)CC3)cc2OC)ncc1Cl,
156,CNc1nc(Nc2cc(OC)c(C(=O)N3CCCC3)cc2Cl)ncc1Cl,
157,CNc1nc(Nc2cc(OC)c(C(=O)NC(C)(C)C)cc2Cl)ncc1Cl,
158,CNc1nc(Nc2cc(OC)c(C(=O)N(C)C)cc2Cl)ncc1C(F)(F)F,
159,CNc1nc(Nc2cc(OC)c(C(=O)N(C)CCOC)cc2Cl)ncc1Cl,
160,CNc1nc(Nc2cc(OC)c(C(=O)NCC(C)(C)O)cc2Cl)ncc1Cl,
161,CNc1nc(Nc2cc(OC)c(C(=O)N3CCC(O)CC3)cc2Cl)ncc1Cl,
162,CNc1nc(Nc2cc(Cl)c(C(=O)N3CCOC(CO)C3)cc2OC)ncc1Cl,
163,CNc1nc(Nc2cc(OC)c(C(=O)N(C)CCO)cc2Cl)ncc1Cl,
164,CNc1nc(Nc2cc(OC)c(C(=O)NC3(C)CCC3)cc2Cl)ncc1Cl,
165,CNc1nc(Nc2cc(OC)c(C(=O)N3CCCOCC3)cc2Cl)ncc1Cl,
166,CNc1nc(Nc2cc(OC)c(C(=O)N3C[C@H](C)O[C@H](C)C3)cc2Cl)ncc1Cl,
167,CNc1nc(Nc2cc(OC)c(C(=O)N3CCC(C#N)CC3)cc2Cl)ncc1Cl,
168,CNc1nc(Nc2cc(OC)c(C(=O)NCC(C)O)cc2Cl)ncc1Cl,
169,CNc1nc(Nc2cc(OC)c(C(=O)N3CC(O)C3)cc2Cl)ncc1Cl,
170,CNc1nc(Nc2cc(OC)c(C(=O)NC3(C#N)CC3)cc2Cl)ncc1Cl,
171,CNc1nc(Nc2cc(OC)c(C(=O)N3CCC(C#N)C3)cc2Cl)ncc1Cl,
172,CNc1nc(Nc2cc(OC)c(C(=O)N3C[C@H](C)N[C@H](C)C3)cc2Cl)ncc1Cl,
173,CNc1nc(Nc2cc(Cl)c(C(=O)NC3CCN(C)CC3)cc2OC)ncc1C(F)(F)F,
174,CNc1nc(Nc2cc(OC)c(C(=O)NC3COC3)cc2Cl)ncc1C(F)(F)F,
175,CNc1nc(Nc2cc(Cl)c(C(=O)NCC(C)(C)O)cc2OC)ncc1C(F)(F)F,
176,CNc1nc(Nc2cc(Cl)c(C(=O)N3CCNCC3)cc2OC)ncc1C(F)(F)F,
177,CNc1nc(Nc2cc(Cl)c(C(=O)N3CCC(C#N)C3)cc2OC)ncc1C(F)(F)F,
178,CNc1nc(Nc2cc(F)c(C(=O)N3CCC(C#N)C3)cc2OC)ncc1C(F)(F)F,
179,CCOc1cc(Nc2ncc(C(F)(F)F)c(NC)n2)c(Cl)cc1C(=O)N1CCOCC1,
180,CNC(=O)c1cc(OC)c(Nc2ncc(C(F)(F)F)c(NC)n2)cc1F,
181,CNc1nc(Nc2cc(Cl)c(C(=O)N(C)CC(C)(C)O)cc2OC)ncc1C(F)(F)F,
183,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1C(C)=O,
185,COCCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1Br,
186,COCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(C)C)ncc1Br,
188,CNc1nc(Nc2ccc(C(=O)N3CC4(COC4)C3)cc2OC2CCCC2)ncc1Cl,
189,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2CCCC2)ncc1Cl,
190,CNc1nc(Nc2ccc(C(=O)N3CC4(COC4)C3)cc2OC)ncc1Cl,
191,CNc1nc(Nc2ccc(C(=O)N3CC(F)(F)OC(F)(F)C3)cc2OC)ncc1C#N,
192,CNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)ncc1C#N,
193,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2C2CC2)ncc1Cl,
194,CNc1nc(Nc2ccc(C(=O)NC3CC(F)(F)C3)cc2OC)ncc1C#N,
195,CNc1nc(Nc2ccc(C(=O)NCC3CC3)cc2OC)ncc1C#N,
196,CNc1nc(Nc2ccc(C(=O)N3CC[C@H](F)C3)cc2OC)ncc1C#N,
197,CNC(=O)c1ccc(Nc2ncc(C#N)c(NC)n2)c(OC)c1,
198,CNc1nc(Nc2ccc(C(=O)N(C)C)cc2OC)ncc1C#N,
199,CCN(CC)C(=O)c1ccc(Nc2ncc(C#N)c(NC)n2)c(OC)c1,
200,CNc1nc(Nc2ccc(C(=O)NC(C)C)cc2OC)ncc1C#N,
201,CNc1nc(Nc2ccc(C(=O)N3CCCC3)cc2OC)ncc1C#N,
202,CNc1nc(Nc2ccc(C(=O)NC3CC(F)C3)cc2OC)ncc1C#N,
203,CCNC(=O)c1ccc(Nc2ncc(C#N)c(NC)n2)c(OC)c1,
204,CNc1nc(Nc2ccc(C(=O)N3CCCCC3)cc2OC)ncc1C#N,
205,CNc1nc(Nc2ccc(C(=O)NCC(F)F)cc2OC)ncc1C#N,
206,CNc1nc(Nc2ccc(C(=O)NC(C)(C)C)cc2OC)ncc1C#N,
207,CCN(C(=O)c1ccc(Nc2ncc(C#N)c(NC)n2)c(OC)c1)C(C)C,
208,CNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)C3)cc2OC)ncc1C#N,
209,CNc1nc(Nc2ccc(C(=O)N3CC(F)(F)C3)cc2OC)ncc1C#N,
210,CNc1nc(Nc2ccc(C(=O)N3CC[C@H](F)C3)cc2OC)ncc1C#N,
211,CCN(C)C(=O)c1ccc(Nc2ncc(C#N)c(NC)n2)c(OC)c1,
212,CNc1nc(Nc2ccc(C(=O)N3CCC3)cc2OC)ncc1C#N,
213,CNc1nc(Nc2ccc(C(=O)N(C)C(C)C)cc2OC)ncc1C#N,
214,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NC2CCOC2)n1,
215,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(C)C)ncc1C(F)(F)F,
216,CCOc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(C(F)(F)F)c(NC)n1,
217,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2CC2)ncc1Cl,
218,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2CC2)ncc1Br,
219,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCCS(C)(=O)=O)n1,
220,CNc1nc(Nc2cc(OC)c(CC(=O)N3CCOCC3)cc2OC)ncc1Br,
221,CNc1nc(Nc2cc(OC)c(CC(=O)N3CCOCC3)cc2OC)ncc1Cl,
222,CNc1nc(Nc2ccc(CC(=O)N3CCOCC3)cc2OC)ncc1Cl,
223,CNc1nc(Nc2ccc(CC(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,
227,CNc1nc(Nc2cc(OC)c(CC(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,
228,CNc1nc(Nc2cc(OC)c(C(=O)NCCCN)cc2Cl)ncc1Cl,
229,COCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Br,
230,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(NCC(C)OC)n1,
231,CNc1nc(Nc2ccc(C(=O)N(C)C)cc2C)ncc1Cl,
232,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2C)ncc1Cl,
233,CNc1nc(Nc2ccc(C(=O)N3CCC(O)CC3)cc2C)ncc1Cl,
234,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(F)(F)F)ncc1C(F)(F)F,
235,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(F)(F)F)ncc1C(F)(F)F,
236,COc1cc(Nc2ncc(C(F)(F)F)c(NC)n2)c(Cl)cc1C(=O)N1C(*)(*)C(*)(*)OC(*)(*)C1(*)*,
237,CNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,
238,CCNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2F)ncc1C(F)(F)F,
239,CNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,
240,CCNc1nc(Nc2cc(F)c(C(=O)N(C)C)cc2OC)ncc1C#N,
241,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)c(F)c2OC)ncc1C(F)(F)F,
242,CCNc1nc(Nc2ccc(C(=O)N3C[C@@H]4C[C@H]3CO4)c(F)c2OC)ncc1C(F)(F)F,
243,CNc1nc(Nc2ccc(C(=O)N3C[C@@H]4C[C@H]3CO4)c(F)c2OC)ncc1C(F)(F)F,
245,CNc1nc(Nc2ccc(C(=O)N3C[C@H](F)[C@@H](F)C3)cc2OC)ncc1C#N,
246,CNc1nc(Nc2cc(Cl)c(C(=O)N3CCC(OC)C3)cc2OC)ncc1C(F)(F)F,
247,CNc1nc(Nc2cc(F)c(C(=O)N3CCC(OC)C3)cc2OC)ncc1C(F)(F)F,
248,CNc1nc(Nc2cc(F)c(C(=O)N(C)CC(C)(C)O)cc2OC)ncc1C(F)(F)F,
249,CNc1nc(Nc2cc(F)c(C(=O)N3C[C@H](C)O[C@H](C)C3)cc2OC)ncc1C(F)(F)F,
251,CCOc1cc(Nc2ncc(C(F)(F)F)c(NC)n2)c(F)cc1C(=O)N1CCOCC1,
252,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(C)C)ncc1C(F)(F)F,
253,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)c(F)c2OC(C)C)ncc1C(F)(F)F,
254,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(N2CCCCC2)n1,
255,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(N2CCCC2)n1,
