Ej.,SMILES,TSER pIC50,TNE pIC50
6月23日,,≥8.0*,≥7.0*
6月24日,,≥8.0,≥8.0
6月25日,,≥8.0*,≥7.0*
6月26日,,≥7.0*,≥7.0*
6月27日,,n.d.,n.d.
6月28日,,≥7.0*,≥8.0*
6月29日,,n.d.,n.d.
6月30日,,≥8.0,≥8.0
6-31,,≥8.0*,≥7.0*
6-32,,≥7.0*,≥6.5*
6-33,,≥8.0*,≥8.0*
6-34,,≥8.0,≥8.0
6-35,,≥8.0,≥8.0
6-36,,≥7.0,≥8.0
6-37,,≥8.0*,≥8.0*
6-38,,≥7.0,≥8.0
6-39,,≥8.0,≥8.0
6-40,,≥8.0,≥8.0
6-41,,≥8.0*,≥7.0*
6-42,,≥8.0*,≥7.0*
6-43,,≥8.0,≥8.0
6-44,,n.d.,n.d.
6-45,,≥8.0,≥8.0
6-46,,≥7.0*,≥7.0*
6-47,,≥8.0,≥8.0
6-48,,≥8.0*,≥7.0*
6-49,,≥7.0*,≥8.0*
6-50,,≥7.0,≥8.0
6-51,,≥7.0*,≥8.0*
6-52,,n.d.,n.d.
6-53,,n.d.,n.d.
6-54,,n.d.,n.d.
6-55,,n.d.,n.d.
6-56,,≥8.0,≥8.0
6-57,,≥8.0*,≥7.0*
6-58,,≥8.0*,≥7.0*
6-59,,≥7.0*,≥8.0*
6-60,,≥8.0*,≥8.0*
6-61,,≥7.0*,≥7.0*
6-62,,≥8.0,≥8.0
6-63,,≥8.0*,≥7.0*
6-64,,≥8.0*,≥7.0*
6-65,,≥8.0*,≥7.0*
6-66,,≥8.0,≥7.0
6-67,,n.d.,n.d.
6-68,,≥8.0,≥8.0
6-69,,≥7.0*,≥7.0*
6-70,,≥8.0,≥8.0
6-71,,≥8.0*,≥7.0*
6-72,,n.d.,n.d.
6-73,,n.d.,n.d.
6-74,,≥8.0,≥8.0
6-75,,≥8.0,≥7.0
6-76,,n.d.,n.d.
6-77,,n.d.,n.d.
7,CCCC[C@H](Oc1cc(F)c(F)cc1F)[C@H]1CCNC1,≥7.0,≥8.0
8月1日,,≥7.0,≥8.0
8月2日,,≥7.0,≥7.0
8月3日,,≥7.0,≥7.0
8月4日,,≥8.0,≥8.0
8月5日,,n.d.,n.d.
8月6日,,n.d.,n.d.
8月7日,,n.d.,n.d.
8月8日,,n.d.,n.d.
8月9日,,n.d.,n.d.
8月10日,,n.d.,n.d.
