Cmpd #,SMILES,Prompt Rat NHE3 pIC50,Prompt Human NHE3 pIC50,Dose mg/kg,"Urine, Na% of control",Urine P% of control,Fecal Form Score average,No. of trials averaged
20,O=C(NCCOCCOCCOCCOc1ccc(-c2ccc(NC(=O)O)cc2)cc1)NCCOCCOCCOCCOc1ccc(-c2cc(-c3ccc(Cl)cc3)nc(NC(C)=O)n2)cc1,7.3,7.2,10,86%,81%,1,
21,,6.1,7,10,66%,101%,1,
22,CN1Cc2c(Cl)cc(Cl)cc2[C@H](c2cccc(S(=O)(=O)NCCOCCOCCOCCN)c2)C1,7.34,6.95,1,91%,64%,1,
22,CN1Cc2c(Cl)cc(Cl)cc2[C@H](c2cccc(S(=O)(=O)NCCOCCOCCOCCN)c2)C1,,,10,19%,40%,2,2
23,O=C(CCCCOCCCCOCCCCCCOCCC(=O)NCCCOCCOCCOCC1CCC(c2cccc(-c3c(NC(=O)C(F)(F)F)ccc4ccc(Cl)cc34)c2)CC1)NCCOCCOCCOCCOc1ccc2cccc(N=C(NC(=O)C(F)(F)F)C(F)(F)F)c2c1,6.87,8.55,10,73%,95%,1,2
24,,7.68,8.58,10,100%,80%,1,
nan,,,,30,27%,70%,3,
25,CC(=O)Nc1nc(-c2cccc(OCCOCCOCCNC(=O)CSCC(=O)NCCOCCOCCOCCNS(=O)(=O)c3cccc(CN4Cc5cccc(-c6cc(Cl)cc(Cl)c6)c5C4=O)c3)c2)c2cc(Cl)ccc2n1,6.85,6.6,10,87%,150%,1,
26,,7.5,7.7,10,78%,77%,1,
27,,7.5,8.4,10,51%,91%,1,2
28,O=C(NCCCCCCNC(=O)NCCCCCCN1CCC(c2cccc(-c3ccc4ccc(C(N)=O)cc4c3)c2)CC1)NCCCCNC(=O)NCCCCCCNC(=O)NCCCCCCN1CCC(c2cccc3ccc(N=C(N)N)cc23)CC1,7.6,8.1,10,83%,129%,1,
29,O=C(CCCCCNC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOc1ccc(C(=O)NC(N)=C(N)N)cc1)NCCOCCOCCOCCNS(=O)(=O)c1ccc(Sc2ccc(S(=O)(=O)NCCCCCCNS(=O)(=O)c3ccc(Sc4ccc(C(=O)NC(C(N)=O)=C(N)N)cc4)cc3)cc2)cc1,7.5,8.1,10,92%,102%,1,
30,C1(=CC=C(OC2=CC=C(S(=O)(=O)NCCCOCCOCCCCNC(=O)CCCCN(*)C(=O)CCCCN(*)C(=O)CCCCCNC(=O)CCCCCCCCCCCS(=O)(=O)NCCCCCCNC(=O)CCCCC3=C(*)C=C(C(=O)N)C=C3)C=C2)C(N)=C1)C(N)=O,7.8,8.4,10,100%,104%,1,
31,c1cc(C)c(F)c(Oc2ccc(S(=O)(=O)NCCOCCOCCOCCNC(=O)C3CCN(C(=O)CCOCCOCCOCCOCCS(=O)(=O)c4ccc(Oc5c(F)cc(C(=O)C=C(C(N)=O)C(N)=O)cc5F)cc4)CC3)cc2)c1,7.7,7.7,10,96%,81%,1,
32,,7.3,8.4,10,128%,122%,1,
33,O=C(NCCCCCCNC(=O)CCNC(=O)CNC(=O)CNC(=O)CCOCCOCCOCCOc1ccc(-c2cccc3ccc(NC(C)=O)cc23)cc1)NCCOCCOCCOCCN1CCN(c2cccc(-c3ccc4cccc(NC(=N)N)c4c3)c2)CC1,7.4,7.9,10,98%,117%,1,
34,O=C(NCCCCCCNC(=O)CCCNC(=O)CCCCCCNC(=O)CCCCCCNC(=O)CCCCCCNC(=O)CCCCCCCCCc1ccc(-c2ccc(F)cc2)cc1)c1ccc(-c2ccc(OCCOCCOCCOCCOc3ccc(-c4cc(F)cc5c4C(=O)NC5=O)cc3)cc2)cc1,7.9,8.2,10,76%,72%,1,
35,,8,8.3,10,65%,57%,1,
36,,7.6,8,10,85%,86%,1,
37,,7.5,7.5,10,63%,101%,1,
38,,5.5,5.6,10,101%,120%,1,
39,,7.3,,1,71%,166%,1,
nan,,,,10,68%,130%,1,
40,,<5.00,<5.00,1,80%,149%,1,
nan,,,,10,90%,128%,1,
41,,7.9,8.2,10,104%,133%,1,
42,,7.7,8.2,10,94%,94%,1,
43,,7.5,7.7,10,70%,101%,1,
44,,7.7,7.9,10,88%,102%,1,
45,,7.5,7.9,10,97%,109%,1,
46,,7.8,7.9,10,58%,112%,1,
47,,7.3,7.8,10,73%,51%,1,
48,,7.55,7.1,10,68%,55%,1,
49,,7.65,7.4,10,38%,77%,1,
50,,7.45,7.6,10,82%,50%,1,
51,,7.4,7.9,10,79%,52%,1,
52,,7.35,7.4,10,68%,71%,1,
53,,7.45,7.4,10,100%,59%,1,
54,,7.3,7.5,10,75%,72%,1,
55,,7.7,7.9,10,85%,45%,1,
56,,6.9,7,10,15%,50%,2,
57,,7.1,7.5,10,25%,75%,3,
58,,6.3,7.3,10,82%,68%,1,
59,,6.9,7.3,10,18%,45%,2,
60,,6.35,7.1,10,67%,92%,1,
nan,,,,1,93%,96%,1,
61,,7,7.8,3,50%,70%,1,
nan,,,,10,21%,67%,3,
62,,<5.00,7.25,10,121%,77%,1,
63,,7.2,8,10,51%,95%,1,
64,,7.4,8.2,10,34%,66%,1,
65,,8.85,8,10,93%,85%,1,
66,,8.35,8.35,10,35%,30%,1,
67,,8,8.7,10,4%,67%,2,
68,,<5.00,<5.00,10,70%,97%,1,
69,,6.6,6.7,10,82%,78%,1,
70,,6.7,7.2,10,96%,83%,1,
71,,6.5,7,10,80%,40%,1,
72,,8.3,8.25,1,82%,99%,1,
nan,,,,3,74%,115%,2,
nan,,,,10,33%,43%,1,
73,,5.3,6.3,10,74%,49%,2,
74,,6.3,6.8,10,30%,44%,3,
75,,6.3,6.9,10,81%,55%,1,
76,,5.6,6.4,1,58%,96%,1,
nan,,,,3,40%,89%,2,
nan,,,,10,12%,61%,3,
77,,6.25,7.35,1,80%,82%,2,2
nan,,,,3,36%,79%,2,
nan,,,,10,17%,41%,4,
78,,6,6.5,10,53%,39%,2,
79,,6.5,7.2,1,65%,109%,1,
nan,,,,3,44%,81%,2,
nan,,,,10,17%,33%,3,
80,,5.5,6.93,1,66%,70%,1,2
nan,,,,3,55%,39%,2,
nan,,,,10,9%,21%,3,
81,,7.9,7.9,10,11%,42%,2,
82,,6.8,7.1,10,47%,69%,1,
83,,<5.00,<5.00,10,82%,59%,1,
84,,7.5,7.7,8,7%,47%,3,
85,,5.8,6.1,10,92%,85%,1,
86,,5.8,5.9,10,87%,89%,1,
87,,<5.00,8.2,3,54%,29%,1,
88,,7.07,7.93,1,84%,77%,1,2
nan,,,,3,22%,75%,3,3
nan,,,,10,21%,69%,5,
89,,7.1,7.9,2.5,55%,50%,2,
nan,,,,10,49%,117%,3,
90,,7.2,7.85,1,76%,65%,1,
nan,,,,3,30%,58%,1,
nan,,,,10,38%,20%,5,
91,,5.3,<5.00,10,77%,56%,1,
92,,<5.00,,10,62%,70%,1,
93,,<5.00,,10,78%,75%,1,
94,,<5.00,5.6,10,67%,66%,1,
95,,6.6,7,10,38%,111%,2,
96,,7.5,8.3,10,33%,94%,1,
97,,7.6,8.5,10,64%,78%,1,
98,,8.4,8.1,10,83%,88%,1,
99,,8.6,5,10,41%,52%,1,
100,,8.1,8.3,10,57%,68%,1,
101,,<5.00,8.1,10,64%,81%,1,
102,,6.6,,10,86%,92%,1,1
103,,6.7,,10,40%,71%,1,
104,,6.7,,10,56%,62%,2,
105,,5.9,,3,119%,154%,1,
106,,7,7.9,1,98%,124%,1,
106,,7,7.9,3,76%,39%,2,
106,,7,7.9,10,20%,64%,4,
107,,6.9,8.1,1,88%,106%,1,
107,,6.9,8.1,3,55%,66%,1,
107,,6.9,8.1,10,28%,59%,4,
108,,8.4,,3,13%,51%,4,
109,,7.4,8.1,1,64%,65%,1,
109,,7.4,8.1,3,52%,51%,2,
109,,7.4,8.1,10,28%,52%,4,
110,,5.8,,3,63%,68%,1,
111,,<5.00,,10,60%,69%,2,
112,,<5.00,,10,73%,67%,1,
113,,<5.00,<5.00,10,64%,61%,1,
114,,<5.00,<5.00,10,45%,100%,3,
115,,<5.00,8.55,10,69%,60%,1,
116,,<5.00,8.3,10,84%,130%,1,
117,,7.5,8.2,10,77%,98%,1,
118,,7.4,8.1,10,83%,131%,1,
119,,8.7,7.8,10,43%,52%,1,
120,,7.8,,3,71%,71%,1,
121,,<5.00,,3,92%,151%,1,
122,,6.2,6.8,3,30%,87%,2,
123,,7.5,7.8,1,49%,124%,1,2
123,,7.5,7.8,3,12%,88%,3,3
124,,7.17,7.5,1,69%,154%,1,
124,,7.17,7.5,3,22%,61%,2,2
125,,<5.00,,10,81%,278%,1,
126,,<5.00,6.55,10,93%,94%,1,
127,,8.2,8.3,1,55%,159%,1,2
127,,8.2,8.3,3,39%,62%,1,4
127,,8.2,8.3,10,9%,53%,1,
128,,7.1,8,1,46%,90%,1,2
128,,7.1,8,3,35%,58%,2,4
129,,5.6,6.9,3,16%,48%,2,
130,,6.1,7.2,3,18%,70%,2,
131,,6.1,7.2,3,38%,68%,2,
132,,6,7.7,3,65%,88%,1,
133,,6.5,7.3,3,23%,67%,2,
134,,6.5,6.5,3,64%,72%,1,
135,,7.4,8.45,1,100%,92%,1,
135,,7.4,8.45,3,94%,44%,1,
135,,7.4,8.45,10,58%,85%,2,
136,,<5.00,7.7,10,104%,93%,1,
137,,7.3,7.3,1,39%,137%,1,
137,,7.3,7.3,3,28%,139%,3,2
138,,7.3,7.3,3,37%,78%,2,
139,,7.6,7.8,1,80%,63%,1,
139,,7.6,7.8,3,27%,45%,3,2
140,,8.9,7.7,10,110%,121%,1,
141,,6.9,7.4,3,63%,24%,2,
142,,8.1,7.1,3,45%,38%,2,
143,,7.25,7.27,1,68%,73%,1,
143,,7.25,7.27,3,34%,93%,3,3
144,,7.2,7.77,3,32%,47%,2,2
145,,7.6,7.7,3,41%,51%,3,
146,,7.8,8.35,3,70%,58%,2,
147,,7,7.67,3,40%,32%,2,3
148,,8.4,7.8,3,49%,146%,1,
149,,8.1,8,1,54%,122%,1,
149,,8.1,8,2,53%,69%,2,
149,,8.1,8,3,46%,115%,1,2
150,,8.6,8,3,73%,74%,1,
nan,,,,10,12%,159%,1,
151,,8.3,7.5,3,78%,52%,1,
nan,,,,10,42%,121%,2,
152,,<5.00,8.7,10,26%,74%,1,
153,,6.9,7.5,3,28%,84%,3,
154,,6.8,6.8,3,112%,65%,1,
155,,7.7,7.9,3,40%,44%,2,
156,,6.7,7.2,3,13%,67%,3,
157,,7.7,7.77,3,26%,50%,3,3
158,,<5.00,6.9,3,32%,64%,2,
159,,7.2,7.3,3,27%,55%,2,
160,,7.7,10,108%,77%,1,,
161,,9.2,7.6,3,82%,60%,2,
162,,7.3,6.6,2,130%,50%,2,
163,,7.9,7.6,3,27%,48%,2,
164,,7.53,8.13,3,18%,63%,3,2
165,,<5.00,8.2,10,104%,68%,1,
166,,<5.00,8.4,10,111%,43%,1,
167,,5.8,8.37,3,36%,99%,2,
168,,7.35,8.13,3,56%,50%,1,
169,,6.5,6.2,3,42%,64%,2,
170,,7.1,7.2,3,31%,34%,2,
171,,,8.2,10,49%,49%,1,
172,,8.2,7.1,3,26%,42%,2,
173,,7.6,8.1,2.5,64%,69%,2,
nan,,,,3,37%,55%,1,
174,,8.6,8.53,10,49%,61%,1,
175,,7.8,7.4,3,102%,48%,1,
176,,7.5,7.4,3,73%,92%,1,
177,,7.7,7.8,3,52%,45%,2,
178,,7.1,7.33,3,18%,46%,3,
179,,8,7.77,3,40%,66%,1,
180,,8.03,8.3,0.03,67%,80%,1,
0.1,,45%,82%,1,,,,
0.3,,33%,75%,3,,,,
1,,15%,69%,3,38,,,
3,,53%,38%,4,,,,
